Memory returned to Seb in disjointed snatches and he hastily checked he was wearing his trousers.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	wear the trousers	literal	combined-inflection	NOUN VERB ADP PROPN ADP ADJ NOUN CCONJ PRON ADV VERB PRON VERB VERB ADJ NOUN
His autocratic style, his disapproval of whole social groups ( such as adulterers and homosexuals ), and the eccentricity of some of his views —he was known to dislike men with beards and women who wore trousers —all served to dent his early showing in the polls.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADJ ADJ NOUN ADJ NOUN ADP ADJ ADJ NOUN PUNCT ADJ ADP NOUN CCONJ NOUN PUNCT CCONJ DET NOUN ADP DET ADP ADJ NOUN NOUN VERB VERB PART VERB NOUN ADP NOUN CCONJ NOUN NOUN VERB NOUN VERB VERB PART VERB ADJ ADJ NOUN ADP DET NOUN
Oh so I mean, that he, that he doesn't wear other trousers and	0 0 0 0 0 0 0 0 0 1 0 1 0	wear the trousers	literal	determiner-broad	INTJ ADV PRON VERB ADP PRON ADP PRON VERB VERB ADJ NOUN CCONJ
He was wearing black trousers and a beautiful white shirt.	0 0 1 0 1 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB ADJ NOUN CCONJ DET ADJ ADJ NOUN
And they 're als they 're also wearing trousers as well underneath the smocks?	0 0 0 0 0 0 0 1 1 0 0 0 0 0	wear the trousers	literal	combined-inflection	CCONJ PRON VERB NOUN PRON VERB ADV VERB NOUN ADV ADV ADP DET NOUN
Was she wearing trousers?	0 0 1 1	wear the trousers	literal	combined-inflection	VERB PRON VERB NOUN
He was wearing light trousers today, and a light blue polo shirt that hugged his figure, revealing the muscles of his torso in precise detail.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB ADJ NOUN NOUN CCONJ DET ADJ ADJ NOUN NOUN ADJ VERB ADJ NOUN VERB DET NOUN ADP ADJ NOUN ADP ADJ NOUN
According to Crilly, Perry was the last kid in school to wear short trousers.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	wear the trousers	literal	determiner-broad	VERB ADP PROPN PROPN VERB DET ADJ NOUN ADP NOUN PART VERB ADJ NOUN
Luiza had decked her inevitable blue with a piece of tat borrowed from the wardrobe, and Ingrid wore black silk trousers and a gold waistcoat and very little else.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN VERB VERB ADJ ADJ NOUN ADP DET NOUN ADP NOUN VERB ADP DET NOUN CCONJ PROPN VERB ADJ NOUN NOUN CCONJ DET NOUN NOUN CCONJ ADV ADJ ADV
Both were wearing grey flannel trousers and pale beige or fawn linen jackets.	0 0 1 0 0 1 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	DET VERB VERB ADJ NOUN NOUN CCONJ ADJ NOUN CCONJ NOUN NOUN NOUN
In her most recent show, d2, Butcher's dancers wore plain black or white trousers and T - shirts and danced from the stage up on to catwalks ; architectural drawings were projected and electronic music accompanied them.	0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP ADJ ADV ADJ NOUN NOUN PROPN NOUN VERB ADJ ADJ CCONJ ADJ NOUN CCONJ NOUN PUNCT NOUN CCONJ VERB ADP DET NOUN PART ADP ADP NOUN PUNCT ADJ NOUN VERB VERB CCONJ ADJ NOUN VERB PRON
He was unmarried, wore cavalry twill trousers and a ' RAFF ' tie, and was a Warwickshire drinking companion of Grunte's.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADJ VERB NOUN NOUN NOUN CCONJ DET PUNCT PROPN PUNCT NOUN CCONJ VERB DET PROPN NOUN NOUN ADP PROPN
As he was wearing only trousers and shoes he knew that he would soon be picked up in the town, so he got away through alleys and into the country.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP PRON VERB VERB ADV NOUN CCONJ NOUN PRON VERB ADP PRON VERB ADV VERB VERB PART ADP DET NOUN CCONJ PRON VERB ADV ADP NOUN CCONJ ADP DET NOUN
Be sure to remember to wear your smart trousers — and I 'm not having you taking your shirt off! '??	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-other	VERB ADJ PART VERB PART VERB ADJ ADJ NOUN PUNCT CCONJ PRON VERB ADV VERB PRON VERB ADJ NOUN PART PUNCT
Or the fact that at secondary school, only the posh wimps played, the ones who actually liked wearing white trousers and rubbing leather balls up and down their groins.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	CCONJ DET NOUN ADP ADP ADJ NOUN ADV DET ADJ NOUN VERB DET NOUN NOUN ADV VERB VERB ADJ NOUN CCONJ VERB NOUN NOUN PART CCONJ ADP ADJ NOUN
He wore dark trousers with a light cotton shirt.	0 1 0 1 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADJ NOUN ADP DET ADJ NOUN NOUN
Male wears the trousers.	0 1 0 1	wear the trousers	figurative	inflection	NOUN VERB DET NOUN
Pakistani girls used to wear er trousers underneath that.	0 0 0 0 1 0 1 0 0	wear the trousers	literal	determiner-broad	ADJ NOUN VERB PART VERB INTJ NOUN ADP DET
Punjabi's, Punjabi women wear these baggy trousers and er.	0 0 0 1 0 0 1 0 0	wear the trousers	literal	combined-other	PROPN PROPN NOUN VERB DET NOUN NOUN CCONJ INTJ
He looks like the sort of slave sold for a knock - down price ; skinny and stooped, wearing nylon trousers, damp plimsolls, and cringing in his thin anorak against the wind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADP DET NOUN ADP NOUN VERB ADP DET VERB PUNCT PART NOUN PUNCT NOUN CCONJ VERB VERB NOUN NOUN VERB NOUN CCONJ VERB ADP ADJ ADJ NOUN ADP DET NOUN
At that time no one was wearing peg trousers.	0 0 0 0 0 0 1 0 1	wear the trousers	literal	combined-inflection	ADP DET NOUN DET NOUN VERB VERB ADJ NOUN
These were not popular and as most women wore trousers or dungarees for the war work, hand knitted long socks or ankle socks were more comfortable and convenient.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	DET VERB ADV ADJ CCONJ ADP ADJ NOUN VERB NOUN CCONJ NOUN ADP DET NOUN NOUN NOUN VERB ADJ NOUN CCONJ NOUN NOUN VERB ADV ADJ CCONJ ADJ
Which duke was denied entrance to a club because he was wearing trousers?	0 0 0 0 0 0 0 0 0 0 0 1 1	wear the trousers	literal	combined-inflection	ADJ NOUN VERB VERB NOUN ADP DET NOUN ADP PRON VERB VERB NOUN
The Association des Girl Guides Luxembourgeoises ( 1 ) Brownies wear brown trousers, a light brown shirt and dark brown tie.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	wear the trousers	literal	determiner-broad	DET PROPN X PROPN PROPN PROPN PUNCT PUNCT PUNCT NOUN VERB ADJ NOUN DET ADJ ADJ NOUN CCONJ ADJ ADJ NOUN
Grow your hair and wear tight trousers and success is easy. '	0 0 0 0 1 0 1 0 0 0 0 0	wear the trousers	literal	determiner-broad	VERB ADJ NOUN CCONJ VERB ADJ NOUN CCONJ NOUN VERB ADJ PUNCT
‘ There's no doubt who 'll wear the trousers in that house,’ said one elderly lady watching with amusement.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	figurative	identical	PUNCT ADV DET NOUN NOUN VERB VERB DET NOUN ADP DET NOUN VERB NUM ADJ NOUN VERB ADP NOUN
Nicolo stood before her, wearing his trousers and nothing else, a cold smile on his face.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN VERB ADP PRON VERB ADJ NOUN CCONJ NOUN ADV DET ADJ NOUN ADP ADJ NOUN
If in Cosi it is the women who are put upon, then in L'Italiana in Algeri it is the eponymous heroine who wears the trousers — or so, at least, it ought to be.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	wear the trousers	figurative	inflection	ADP ADP PROPN PRON VERB DET NOUN NOUN VERB VERB ADP ADV ADP PROPN ADP PROPN PRON VERB DET ADJ NOUN NOUN VERB DET NOUN PUNCT CCONJ ADV ADP ADJ PRON VERB PART VERB
Flora Piercy was wearing black velvet trousers, and a large white cable - knit sweater.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN PROPN VERB VERB ADJ NOUN NOUN CCONJ DET ADJ ADJ NOUN PUNCT VERB NOUN
Mike wore black leather biking trousers and a heavy seaman's turtleneck sweater.	0 1 0 0 0 1 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN VERB ADJ NOUN VERB NOUN CCONJ DET ADJ NOUN NOUN NOUN
He was six feet two, and wore dark blue trousers with a blue and white striped shirt.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB NUM NOUN NUM CCONJ VERB ADJ ADJ NOUN ADP DET ADJ CCONJ ADJ VERB NOUN
Janet Jackson is great, the way she dresses, she doesn't just wear miniskirts like Sabrina or Sinitta, she wears trousers, baseball caps ; she's more of a tomboy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN PROPN VERB ADJ DET NOUN PRON VERB PRON VERB ADV VERB NOUN ADP PROPN CCONJ PROPN PRON VERB NOUN NOUN NOUN PUNCT PRON ADJ ADP DET NOUN
If you insist on doing so, wear tough full length trousers and shirt to minimise gravel rash, and make sure your chosen insurance allows treatment for low cc scooter hire injuries — ours does.	0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-other	ADP PRON VERB ADP VERB ADV VERB ADJ ADJ NOUN NOUN CCONJ NOUN PART VERB NOUN NOUN CCONJ VERB ADJ ADJ VERB NOUN VERB NOUN ADP ADJ NOUN NOUN VERB NOUN PUNCT ADJ VERB
The figure sitting on its far side was a man wearing sand - coloured trousers and a red shirt ; he had reddish - brown hair brushed straight back and looked square - shouldered and sturdy.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	DET NOUN VERB ADP ADJ ADJ NOUN VERB DET NOUN VERB NOUN PUNCT VERB NOUN CCONJ DET ADJ NOUN PUNCT PRON VERB ADJ PUNCT ADJ NOUN VERB ADV ADV CCONJ VERB ADV PUNCT VERB CCONJ ADJ
If you are wearing trousers you 'll have to wear a long top so it doesn't show anything. '	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP PRON VERB VERB NOUN PRON VERB VERB PART VERB DET ADJ NOUN ADP PRON VERB VERB NOUN PUNCT
In her wake came the likes of Chrissie Hynde, who found it easier just to wear the trousers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	wear the trousers	figurative	identical	ADP ADJ NOUN VERB DET NOUN ADP PROPN PROPN NOUN VERB PRON ADJ ADV PART VERB DET NOUN
A similar dazzling double - take is achieved by Moira, who works as a secretary in a big office and wears bog - standard floral Laura Ashley trousers and cotton jumpers like the rest of us, but when she leaves work pulls on a very old duffle coat — white at the seams, so old that it can't be accidental — which screams out, ' I am an intellectual, actually.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	DET ADJ VERB ADJ PUNCT NOUN VERB VERB ADP PROPN NOUN VERB ADP DET NOUN ADP DET ADJ NOUN CCONJ VERB ADJ PUNCT ADJ ADJ PROPN PROPN NOUN CCONJ NOUN NOUN ADP DET NOUN ADP PRON CCONJ ADV PRON VERB NOUN NOUN ADP DET ADV ADJ NOUN NOUN PUNCT NOUN ADP DET NOUN ADV ADJ ADP PRON VERB VERB ADJ PUNCT ADJ VERB ADV PUNCT PRON VERB DET ADJ ADV
Stuart was wearing the trousers of his work suit, but he 'd changed his shirt, and he had an apron over the top.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	inflection	PROPN VERB VERB DET NOUN ADP ADJ NOUN NOUN CCONJ PRON VERB VERB ADJ NOUN CCONJ PRON VERB DET NOUN ADP DET NOUN
But I wouldn't wear the trousers or the hat!’	0 0 0 1 0 1 0 0 0	wear the trousers	literal	identical	CCONJ PRON VERB VERB DET NOUN CCONJ DET NOUN
